ID;Standort-Nr;Baumhoehe_akt_m;Stammanzahl_akt_anz;Stammdurchmesser_akt_cm;Stammumfang_akt_cm;Kronendurchmesser_akt_cm;Pflanzjahr;Standalter_geschaetzt_jahr;ref_Baumart;ref_Baumart_botanisch;gis_komplex_UTM;ref_Objekt_Name;ref_Objekt_stat_Bezirk;ref_Objekt_Number;ref_Objekt_Name_Number
00008100:000d0132;1;4;1;8,28;26;2;2020;3;Mehlbeere;Sorbus spec.;POINT(404875.40218807267956435680389404296875 5755263.986995930783450603485107421875);�G HABICHTSH�HE;32;13201;20 13201 �G HABICHTSH�HE
00008100:000d0138;51;5;1;9;28;2;2012;11;Rotdorn;Crataegus laevigata 'Paul's Scarlet' ;POINT (404887.389 5754897.588);VG SAARBR�CKER STRASSE;32;53227;20 53227 VG SAARBR�CKER STRASSE
00008100:000d0715;5;;;;;;;;Unbekannt;Unbekannt;POINT (405053.122 5754908.175);VG SAARBR�CKER STRASSE (BAUM-Objekt);32;53249;20 53249 VG SAARBR�CKER STRASSE (BAUM-Objekt)
00008100:000d0382;84;1;1;0;1;1;2021;1;;Standort ohne Baum;POINT (404732.475 5755664.186);VG SENTMARINGER WEG;32;53238;20 53238 VG SENTMARINGER WEG
00008100:000d010e;53;6;1;38;120;2;1972;51;Unbekannt;Unbekannt;POINT (404869.246 5754909.436);VG SAARBR�CKER STRASSE;32;53227;20 53227 VG SAARBR�CKER STRASSE
00008100:000d0130;3;7;1;14,96;47;5;2007;16;Mehlbeere;Sorbus spec.;POINT (404924.661 5755048.169);VG HABICHTSH�HE;32;53235;20 53235 VG HABICHTSH�HE
00008100:000d0686;2;;;;;;;;Unbekannt;Unbekannt;POINT (404922.51 5755246.91);�G METZER STRASSE;32;13204;20 13204 �G METZER STRASSE
00008100:000d0699;5;9;1;19,1;60;3;2002;21;Einblatt-Esche;Fraxinus excelsior f. diversifolia ;POINT (405051.491 5756364.202);VG PARKPLATZ WESELER STR. + DONDERS-RING;32;53201;20 53201 VG PARKPLATZ WESELER STR. + DONDERS-RING
00008100:000d03a5;1;;;;;;;;Unbekannt;Unbekannt;POINT (405344.489 5755720.918);VG W�RTHSTRASSE;32;53208;20 53208 VG W�RTHSTRASSE
00008100:000d03a6;1;6;1;11;34,56;2;2012;11;Hainbuche;Carpinus betulus*;POINT (404120.373 5754877.023);VG EIFELSTRASSE;32;53210;20 53210 VG EIFELSTRASSE
00008100:000d03a7;12;29;1;126;397;17;1862;161;Gew�hnliche Platane;Platanus x hispanica ;POINT (405264.2628 5755574.759);VG STRASSBURGER WEG;32;53214;20 53214 VG STRASSBURGER WEG
00008100:000d03a9;1;;;;;;;;Unbekannt;Unbekannt;POINT (405186.144 5755311.704);VG METZER STRASSE;32;53221;20 53221 VG METZER STRASSE
00008100:000d03b1;1;6;1;15;47,12;3,5;2002;21;Eberesche;Sorbus aucuparia ;POINT (404291.59 5755030.193);VG R�PINGSTRASSE;32;53225;20 53225 VG R�PINGSTRASSE
00008100:000d03c7;130;1;1;0;1;1;2021;2;;Standort ohne Baum;POINT (404949.444 5755739.205);VG SENTMARINGER WEG;32;53238;20 53238 VG SENTMARINGER WEG
00008100:000d0160;1;6;1;14,32;45;3;2012;11;Spitz-Ahorn;Acer platanoides*;POINT (404937.849 5756282.189);VG AM KRUG;32;53203;20 53203 VG AM KRUG
00008100:000d0169;8;8;1;17,51;55;3;2010;13;Spitz-Ahorn;Acer platanoides*;POINT (404941.319 5755244.836);VG METZER STRASSE;32;53221;20 53221 VG METZER STRASSE
00008100:000d0938;83;1;1;0;1;1;2021;1;;Standort ohne Baum;POINT (404783.086 5755650.052);VG SENTMARINGER WEG;32;53238;20 53238 VG SENTMARINGER WEG
00008100:000d0339;2;20;1;50;157,08;5;1987;36;Esche;Fraxinus spec.;POINT(404880.3188794911839067935943603515625 5755161.1860543377697467803955078125);VG GUT INSEL;32;53233;20 53233 VG GUT INSEL
00008100:000d033a;1;8;1;18;56,55;8;2002;21;Robinie;Robinia pseudoacacia*;POINT(404746.105275220237672328948974609375 5755324.144080817699432373046875);�G GR�NER GRUND;32;13202;20 13202 �G GR�NER GRUND
00008100:000d019d;3;22;1;98,68;310;17;1947;76;Gew�hnliche Platane;Platanus x hispanica ;POINT (405034.631 5756362.227);VG PARKPLATZ WESELER STR. + DONDERS-RING;32;53201;20 53201 VG PARKPLATZ WESELER STR. + DONDERS-RING
00008100:000d01c9;5;13;1;41;129;6;1972;51;Hainbuche;Carpinus betulus*;POINT (404350.762 5754750.161);VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.;32;53241;20 53241 VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.
00008100:000d0358;47;6;1;10;30;2;2012;11;Rotdorn;Crataegus laevigata 'Paul's Scarlet' ;POINT (404898.719 5754900.031);VG SAARBR�CKER STRASSE;32;53227;20 53227 VG SAARBR�CKER STRASSE
00008100:000d01da;1;;;;;;;;Baum-Hasel;Corylus colurna ;POINT (405414.308 5755322.457);VG HAMMER STRASSE: StaB.32 -B�UME-;32;53255;20 53255 VG HAMMER STRASSE: StaB.32 -B�UME-
00008100:000d0756;3;;1;11,14;35;;2016;7;Spitz-Ahorn;Acer platanoides*;POINT (404993.454 5755256.091);VG METZER STRASSE;32;53221;20 53221 VG METZER STRASSE
00008100:000d075e;2;;;;;;;;Unbekannt;Unbekannt;POINT (405334.98 5755717.688);VG W�RTHSTRASSE;32;53208;20 53208 VG W�RTHSTRASSE
00008100:000d0770;2;;;;;;;;Unbekannt;Unbekannt;POINT (404954.408 5754907.806);VG SAARBR�CKER STRASSE (BAUM-Objekt);32;53249;20 53249 VG SAARBR�CKER STRASSE (BAUM-Objekt)
00008100:000d0775;1;6,5;1;10;31,42;3;2017;6;Schwedische Mehlbeere;Sorbus intermedia ;POINT (404888.552 5754962.479);VG HABICHTSH�HE;32;53235;20 53235 VG HABICHTSH�HE
00008100:000d077d;1;;;;;;;;Unbekannt;Unbekannt;POINT (404549.486 5755239.136);VG OBERSCHLESIER STRASSE;32;53224;20 53224 VG OBERSCHLESIER STRASSE
00008100:000d0a1a;6;10;1;28,65;90;5;1987;36;Spitz-Ahorn;Acer platanoides*;POINT (405421.626 5755239.842);VG HAMMER STRASSE: StaB.32 -B�UME-;32;53255;20 53255 VG HAMMER STRASSE: StaB.32 -B�UME-
00008100:000d077f;2;7;1;7,32;23;1,5;2019;4;Mehlbeere;Sorbus spec.;POINT (404930.212 5755098.906);VG HABICHTSH�HE;32;53235;20 53235 VG HABICHTSH�HE
00008100:000d0789;132;7;1;14;43;3;1992;31;Spitz-Ahorn;Acer platanoides*;POINT (404976.4 5755750.017);VG SENTMARINGER WEG;32;53238;20 53238 VG SENTMARINGER WEG
00008100:000d0788;3;13;1;35,01;110;7;1992;31;Hainbuche;Carpinus betulus*;POINT (405224.886 5755694.785);VG W�RTHSTRASSE;32;53208;20 53208 VG W�RTHSTRASSE
00008100:000d07bc;5;10;1;37,24;117;4;1992;31;Schmalbl�ttrige Esche;Fraxinus angustifolia*;POINT (405152.159 5755083.891);VG ELS�SSER STRASSE;32;53228;20 53228 VG ELS�SSER STRASSE
00008100:000d07bb;6;5;1;31,83;100;2;2002;21;Schmalbl�ttrige Esche;Fraxinus angustifolia*;POINT (405153.413 5755113.281);VG ELS�SSER STRASSE;32;53228;20 53228 VG ELS�SSER STRASSE
00008100:000d06ae;3;5;1;15,28;48;2;2007;16;Eberesche;Sorbus aucuparia ;POINT (405270.037 5756305.893);VG GEISTSTRASSE (WEST);32;53218;20 53218 VG GEISTSTRASSE (WEST)
